00010115943 I 20220101000000   000000008044980.50BAHT   BAL000000008044980.50 INITIAL.
00010115943 W 20220101000500   000000000000169.75BAHT   BAL000000008044810.75 .
00010115943 W 20220101002827   000000000000187.75BAHT   BAL000000008044623.00 .
00010115943 T 20220101003214   000000000000159.50BAHT   BAL000000008044463.50 TO01133011122.
00010115943 D 20220101004220   000000000393188.00BAHT   BAL000000008437651.50 TYPE-DE.
00010115943 T 20220101010603   000000000000176.75BAHT   BAL000000008437474.75 TO44002617524.
00010115943 T 20220101010648   000000000000155.25BAHT   BAL000000008437319.50 TO85614200688.
00010115943 D 20220101012505   000000000440784.50BAHT   BAL000000008878104.00 TYPE-DE.
00010115943 D 20220101014948   000000000662074.25BAHT   BAL000000009540178.25 TYPE-DE.
00010115943 D 20220101020018   000000000186221.25BAHT   BAL000000009726399.50 TYPE-DE.
00010115943 T 20220101022258   000000000000188.50BAHT   BAL000000009726211.00 TO44088673004.
00010115943 D 20220101022619   000000000458349.00BAHT   BAL000000010184560.00 TYPE-DE.
00010115943 W 20220101024228   000000000000124.75BAHT   BAL000000010184435.25 .
00010115943 W 20220101024232   000000000000157.50BAHT   BAL000000010184277.75 .
00010115943 D 20220101025655   000000000990270.00BAHT   BAL000000011174547.75 TYPE-DE.
00010115943 W 20220101031136   000000000000152.50BAHT   BAL000000011174395.25 .
00010115943 W 20220101033425   000000000000185.50BAHT   BAL000000011174209.75 .
00010115943 D 20220101035336   000000000696687.50BAHT   BAL000000011870897.25 TYPE-DE.
00010115943 D 20220101041957   000000000675186.25BAHT   BAL000000012546083.50 TYPE-DE.
00010115943 W 20220101044902   000000000000132.75BAHT   BAL000000012545950.75 .
00010115943 T 20220101051516   000000000000162.25BAHT   BAL000000012545788.50 TO01133011122.
00010115943 D 20220101053716   000000000264330.00BAHT   BAL000000012810118.50 TYPE-DE.
00010115943 D 20220101060441   000000000997224.25BAHT   BAL000000013807342.75 TYPE-DE.
00010115943 T 20220101062012   000000000000184.75BAHT   BAL000000013807158.00 TO10803011297.
00010115943 W 20220101062159   000000000000136.25BAHT   BAL000000013807021.75 .
00010115943 W 20220101064225   000000000000142.25BAHT   BAL000000013806879.50 .
00010115943 T 20220101065342   000000000000191.75BAHT   BAL000000013806687.75 TO11870049832.
00010115943 W 20220101071912   000000000000122.50BAHT   BAL000000013806565.25 .
00010115943 W 20220101073228   000000000000147.25BAHT   BAL000000013806418.00 .
